Team,month,day,score
Gil Vicente,2,8,1
Gil Vicente,2,4,0
Gil Vicente,1,28,1
Gil Vicente,1,21,2
Gil Vicente,1,14,1
Gil Vicente,1,10,3
Gil Vicente,1,6,0
Gil Vicente,12,30,1
Gil Vicente,12,16,0
Gil Vicente,12,11,1
Vitoria de Guimaraes,9,1,2
Vitoria de Guimaraes,8,29,4
Vitoria de Guimaraes,8,25,0
Vitoria de Guimaraes,8,21,3
Vitoria de Guimaraes,8,18,1
Vitoria de Guimaraes,8,15,2
Vitoria de Guimaraes,8,12,1
Vitoria de Guimaraes,8,8,3
Vitoria de Guimaraes,8,1,4
Vitoria de Guimaraes,7,25,1
Vitoria de Guimaraes,5,18,3
Vitoria de Guimaraes,5,11,2
Vitoria de Guimaraes,5,4,1
Vitoria de Guimaraes,4,27,1
Vitoria de Guimaraes,4,21,0
Vitoria de Guimaraes,4,17,1
Vitoria de Guimaraes,4,13,1
Vitoria de Guimaraes,4,7,2
Vitoria de Guimaraes,4,3,0
Vitoria de Guimaraes,3,30,1
Vitoria de Guimaraes,3,17,2
Vitoria de Guimaraes,3,9,1
Vitoria de Guimaraes,3,2,3
Vitoria de Guimaraes,2,24,0
Vitoria de Guimaraes,2,17,1
Vitoria de Guimaraes,2,11,2
Vitoria de Guimaraes,2,8,3
Vitoria de Guimaraes,2,4,1
Vitoria de Guimaraes,1,28,0
Vitoria de Guimaraes,1,21,3
Vitoria de Guimaraes,1,15,2
Vitoria de Guimaraes,1,11,1
Vitoria de Guimaraes,1,6,1
Vitoria de Guimaraes,12,23,1
Vitoria de Guimaraes,12,16,1
Vitoria de Guimaraes,12,9,3
Vitoria de Guimaraes,12,2,2
AVS Futebol SAD,8,31,1
AVS Futebol SAD,8,25,1
AVS Futebol SAD,8,16,2
AVS Futebol SAD,8,10,1
AVS Futebol SAD,6,2,2
AVS Futebol SAD,5,25,2
AVS Futebol SAD,5,19,0
AVS Futebol SAD,5,12,0
AVS Futebol SAD,5,6,3
AVS Futebol SAD,4,30,4
AVS Futebol SAD,4,24,0
AVS Futebol SAD,4,13,1
AVS Futebol SAD,4,6,1
AVS Futebol SAD,3,30,1
AVS Futebol SAD,3,16,1
AVS Futebol SAD,3,11,1
AVS Futebol SAD,3,3,1
AVS Futebol SAD,2,27,2
AVS Futebol SAD,2,19,3
AVS Futebol SAD,2,11,2
AVS Futebol SAD,2,3,1
AVS Futebol SAD,1,28,3
AVS Futebol SAD,1,20,3
AVS Futebol SAD,1,14,2
AVS Futebol SAD,1,7,1
AVS Futebol SAD,12,31,2
AVS Futebol SAD,12,21,1
AVS Futebol SAD,12,16,2
AVS Futebol SAD,12,9,3
AVS Futebol SAD,12,2,1
Boavista,8,31,0
Boavista,8,24,0
Boavista,8,18,0
Boavista,8,10,1
Boavista,5,18,2
Boavista,5,12,1
Boavista,5,4,1
Boavista,4,27,1
Boavista,4,20,1
Boavista,4,14,1
Boavista,4,5,0
Boavista,3,30,0
Boavista,3,17,6
Boavista,3,9,1
Boavista,3,4,1
Boavista,2,26,0
Boavista,2,17,1
Boavista,2,10,2
Boavista,2,5,0
Boavista,1,28,1
Boavista,1,19,0
Boavista,1,14,4
Boavista,1,5,1
Boavista,12,30,0
Boavista,12,16,1
Boavista,12,10,1
Boavista,12,3,0
Estrela da Amadora,8,31,0
Estrela da Amadora,8,24,0
Estrela da Amadora,8,19,0
Estrela da Amadora,8,11,1
Estrela da Amadora,5,18,0
Estrela da Amadora,4,29,0
Estrela da Amadora,4,10,1
Estrela da Amadora,4,14,2
Estrela da Amadora,4,7,2
Estrela da Amadora,3,29,1
Estrela da Amadora,3,16,0
Estrela da Amadora,3,8,3
Estrela da Amadora,3,2,0
Estrela da Amadora,2,24,1
Estrela da Amadora,2,17,0
Estrela da Amadora,2,9,3
Estrela da Amadora,2,4,0
Estrela da Amadora,1,29,1
Estrela da Amadora,1,21,0
Estrela da Amadora,1,14,1
Estrela da Amadora,1,6,1
Estrela da Amadora,12,28,1
Estrela da Amadora,12,15,0
Estrela da Amadora,12,10,3
Estrela da Amadora,12,2,1
Arouca,9,1,0
Arouca,8,25,1
Arouca,8,18,1
Arouca,8,12,0
Arouca,8,3,0
Arouca,5,18,1
Arouca,5,12,0
Arouca,5,5,0
Arouca,4,26,2
Arouca,4,19,1
Arouca,4,14,2
Arouca,4,6,3
Arouca,3,30,2
Arouca,3,17,0
Arouca,3,10,0
Arouca,3,1,5
Arouca,2,23,3
Arouca,2,18,0
Arouca,2,12,3
Arouca,2,3,2
Arouca,1,28,5
Arouca,1,20,2
Arouca,1,15,1
Arouca,1,10,0
Arouca,1,6,0
Arouca,12,28,4
Arouca,12,16,3
Arouca,12,10,2
Arouca,12,3,4
Casa Pia AC,8,31,1
Casa Pia AC,8,24,0
Casa Pia AC,8,17,0
Casa Pia AC,8,10,0
Casa Pia AC,5,17,2
Casa Pia AC,5,12,0
Casa Pia AC,5,5,3
