player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Jorge Fernandes,Vitoria de Guimaraes,193,27,1600000.0,Center-back,18,74,75,76,89,28
Luis Esteves,Nacional,171,26,100000.0,Central Midfielder,0,0,0,0,0,0
Fredrik Aursnes,Benfica,179,28,24000000.0,Right-back,81,60,70,85,12,23
Robson Bambu,Braga,185,26,2700000.0,Center-back,81,13,0,5,15,68
Rivaldo,Farense,184,23,0.0,Right-back,0,0,0,0,0,0
Eduardo Quaresma,Sporting CP,185,22,3200000.0,Center-back,92,2,65,12,6,32
Marios Vrousai,Rio Ave,183,26,890000.0,Left Midfielder,58,83,57,37,65,88
Leandro Barreiro,Benfica,174,24,19000000.0,Central Midfielder,36,56,62,43,72,87
Ricardo Mangas,Vitoria de Guimaraes,179,26,1100000.0,Left Midfielder,6,64,80,23,82,8
Samu,Vitoria de Guimaraes,170,28,950000.0,Central Midfielder,92,44,13,86,61,97
Stephen Eustaquio,FC Porto,178,27,14000000.0,Central Midfielder,88,50,71,82,40,84
Gabriel Silva,Santa Clara,177,22,2600000.0,Left Winger,0,0,0,0,0,0
Ibrahima,Boavista,190,25,650000.0,Central Midfielder,16,10,0,74,23,4
Mario Gonzalez,Famalicao,183,28,2500000.0,Striker,17,55,18,19,67,13
Frederico Venancio,Santa Clara,186,31,680000.0,Center-back,15,4,0,79,9,48
Kaio,Vitoria de Guimaraes,168,20,950000.0,Right Winger,12,6,26,12,31,43
Jan-Niklas Beste,Benfica,174,25,15000000.0,Left Winger,63,33,67,93,16,85
Nene,AVS Futebol SAD,183,41,200000.0,Striker,0,0,0,0,0,0
Giorgi Aburjania,AVS Futebol SAD,187,29,700000.0,Defensive Midfielder,19,14,0,15,61,27
Maracas,Moreirense,184,30,0.0,Center-back,50,46,94,11,44,85
Bruma,Braga,173,29,7500000.0,Left Winger,90,90,73,52,10,11
Danny Loader,FC Porto,182,24,3200000.0,Striker,87,50,24,82,46,56
Bruno Gaspar,Vitoria de Guimaraes,176,31,550000.0,Right Midfielder,72,22,50,63,50,30
Andre Luiz,Estrela da Amadora,185,22,350000.0,Striker,93,72,21,18,25,43
Jesus Ramirez,Vitoria de Guimaraes,187,26,1000000.0,Striker,0,0,0,0,0,0
Pedro Gomes,Boavista,185,21,0.0,Right-back,0,0,0,0,0,0
Pepe,FC Porto,175,27,25000000.0,Attacking Midfielder,77,29,26,65,52,18
Nilton Varela,Estrela da Amadora,182,23,750000.0,Left-back,61,20,0,14,68,78
Vinicius,Santa Clara,180,25,500000.0,Right Winger,0,0,0,0,0,0
Jeremy Antonisse,Moreirense,180,22,320000.0,Left Winger,62,81,0,82,76,99
Sopuruchukwu Onyemaechi,Boavista,183,25,3500000.0,Left-back,13,23,0,45,52,53
Sikou Niakaté,Braga,186,25,4500000.0,Center-back,44,38,39,20,49,6
Marcus Edwards,Sporting CP,167,25,26000000.0,Right Winger,82,67,71,98,2,3
Roberto Fernández,Braga,183,22,660000.0,Striker,20,62,46,0,77,15
Rochinha,Famalicao,172,29,2000000.0,Left Winger,51,27,0,8,47,61
Ricardinho,Santa Clara,178,26,850000.0,Left Winger,0,0,0,0,0,0
Ruben Fernandes,Gil Vicente,186,38,150000.0,Center-back,67,28,46,51,44,24
Mikel Villanueva,Vitoria de Guimaraes,190,31,1400000.0,Center-back,41,85,0,0,83,32
Leo Alaba,AVS Futebol SAD,179,25,650000.0,Right-back,28,77,0,6,92,84
Jesus Castillo,Gil Vicente,185,23,800000.0,Central Midfielder,71,69,84,18,25,96
Joel da Silva,Boavista,185,21,110000.0,Right Winger,32,10,25,26,80,98
Aderllan Santos,Rio Ave,192,35,250000.0,Center-back,64,58,85,54,79,99
Alex Bermejo,Farense,183,25,750000.0,Left Midfielder,13,99,100,59,25,8
Tidjany Toure,Gil Vicente,181,22,550000.0,Right Winger,68,58,10,67,43,39
Ze Ferreira,Vitoria de Guimaraes,172,22,1100000.0,Central Midfielder,94,43,0,88,56,70
Alisson Safira,Santa Clara,185,29,550000.0,Striker,69,25,89,87,95,89
Cristian Devenish,AVS Futebol SAD,192,23,1100000.0,Center-back,53,58,0,21,1,45
Rodrigo Abascal,Boavista,190,30,850000.0,Center-back,67,36,75,81,20,71
Ilija Vukotic,Boavista,191,25,440000.0,Central Midfielder,20,5,0,9,84,67
Marcelo,Moreirense,182,35,500000.0,Center-back,40,59,78,14,61,93
Morlaye Sylla,Arouca,170,26,2000000.0,Left Winger,76,38,13,56,38,82
Matheus Pereira,Santa Clara,172,23,400000.0,Left-back,60,69,83,76,19,29
Jonathan Buatu,Gil Vicente,187,30,710000.0,Center-back,24,45,50,22,19,27
Klismahn,Santa Clara,179,24,200000.0,Central Midfielder,0,0,0,0,0,0
Leonel Bucca,Estrela da Amadora,190,25,350000.0,Central Midfielder,3,63,68,19,43,52
Oscar Aranda,Famalicao,181,22,550000.0,Striker,97,90,0,87,18,4
Danilo Veiga,Estrela da Amadora,183,21,800000.0,Right-back,58,23,0,15,71,78
João Marques,Braga,168,22,320000.0,Left Winger,36,36,34,51,81,70
Filipe Ferreira,Boavista,178,33,250000.0,Left-back,45,10,0,23,56,51
Roger Fernandes,Braga,170,18,4000000.0,Right Winger,71,67,59,56,73,52
Nuno Santos,Vitoria de Guimaraes,178,25,2700000.0,Central Midfielder,28,95,83,89,5,8
Chico Lamba,Arouca,189,21,530000.0,Center-back,0,0,0,0,0,0
Nélson Oliveira,Vitoria de Guimaraes,184,33,0.0,Striker,34,27,26,30,23,35
Samuel Granada,AVS Futebol SAD,190,23,100000.0,Right Winger,0,0,0,0,0,0
Taichi Fukui,Arouca,172,20,700000.0,Central Midfielder,14,78,53,63,46,34
Luis Rocha,Santa Clara,186,38,0.0,Center-back,0,0,0,0,0,0
Zeno Debast,Sporting CP,189,20,18000000.0,Center-back,93,27,0,84,8,64
Vitor Gomes,Rio Ave,181,36,110000.0,Central Midfielder,97,32,0,50,0,56
Pedro Carvalho,Estoril,183,21,275000.0,Right-back,0,0,0,0,0,0
Guilherme Schettine,Moreirense,180,28,730000.0,Striker,45,78,13,86,58,51
Kiko Bondoso,Rio Ave,171,28,880000.0,Right Winger,0,0,0,0,0,0
Lawrence Ofori,Moreirense,181,26,0.0,Defensive Midfielder,59,19,53,24,1,10
Goncalo Borges,FC Porto,184,23,4500000.0,Right Winger,68,84,39,88,26,69
Gustavo Garcia,Nacional,177,22,2000000.0,Right-back,19,9,0,73,78,81
Jonathan Panzo,Rio Ave,185,23,1200000.0,Center-back,61,54,83,76,13,91
Rafael Barbosa,Farense,170,28,550000.0,Central Midfielder,40,88,62,91,0,7
Gil Dias,Famalicao,183,27,920000.0,Left Midfielder,94,98,0,26,78,85
Nuno Moreira,Casa Pia AC,173,25,720000.0,Left Winger,58,50,13,69,42,67
Nigel Thomas,Nacional,177,23,750000.0,Right Winger,17,51,33,45,23,6
Brandon Aguilera,Rio Ave,181,21,350000.0,Central Midfielder,73,47,70,86,7,39
Jose Fontán,Arouca,182,24,820000.0,Left-back,33,26,85,3,85,98
Matheus Dias,Nacional,189,22,2200000.0,Central Midfielder,89,1,0,5,98,100
Nuno Santos,Sporting CP,179,29,13000000.0,Left Midfielder,89,88,78,98,10,7
Yanis Begraoui,Estoril,178,23,950000.0,Striker,93,52,4,45,12,53
