player_names,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,Month,Day,Opponent
Ivan Jaime,73.0,0.0,0.0,0.0,0.0,6.9,Aug,31,Sporting CP
Ivan Jaime,77.0,0.0,2.0,0.0,0.0,8.4,Aug,24,Rio Ave
Ivan Jaime,73.0,1.0,0.0,0.0,0.0,7.7,Aug,16,Santa Clara
Ivan Jaime,83.0,1.0,0.0,0.0,0.0,8.1,Aug,10,Gil Vicente
Ivan Jaime,57.0,1.0,0.0,0.0,0.0,7.5,Aug,3,Sporting CP
Ivan Jaime,64.0,1.0,0.0,0.0,0.0,8.3,Jul,28,Al Nassr FC
Ivan Jaime,45.0,0.0,0.0,0.0,0.0,6.1,Apr,13,Famalicao
Ivan Jaime,34.0,0.0,0.0,0.0,0.0,6.5,Apr,7,Vitoria de Guimaraes
Ivan Jaime,7.0,0.0,0.0,0.0,0.0,6.9,Apr,3,Vitoria de Guimaraes
Ivan Jaime,14.0,0.0,0.0,0.0,0.0,6.3,Mar,30,Estoril
Tiago Gouveia,55.0,0.0,0.0,1.0,0.0,7.4,Aug,24,Estrela da Amadora
Tiago Gouveia,25.0,1.0,1.0,0.0,0.0,8.4,Aug,17,Casa Pia AC
Tiago Gouveia,3.0,0.0,0.0,0.0,0.0,7.2,Aug,11,Famalicao
Tiago Gouveia,25.0,0.0,1.0,0.0,0.0,7.5,Jul,28,Feyenoord
Tiago Gouveia,27.0,0.0,0.0,0.0,0.0,5.8,May,17,Rio Ave
Tiago Gouveia,25.0,0.0,0.0,0.0,0.0,6.2,May,12,Arouca
Tiago Gouveia,14.0,0.0,0.0,1.0,0.0,6.2,May,5,Famalicao
Tiago Gouveia,1.0,0.0,0.0,0.0,0.0,7.2,Apr,27,Braga
Tiago Gouveia,62.0,0.0,0.0,0.0,0.0,7.0,Apr,22,Farense
Nico González,90.0,0.0,0.0,1.0,0.0,6.1,Aug,31,Sporting CP
Nico González,90.0,1.0,0.0,0.0,0.0,8.1,Aug,24,Rio Ave
Nico González,68.0,0.0,1.0,1.0,0.0,8.1,Aug,16,Santa Clara
Nico González,83.0,0.0,0.0,0.0,0.0,7.6,Aug,10,Gil Vicente
Nico González,75.0,1.0,0.0,1.0,0.0,7.6,Aug,3,Sporting CP
Nico González,64.0,2.0,0.0,0.0,0.0,8.8,Jul,28,Al Nassr FC
Nico González,85.0,0.0,0.0,0.0,0.0,7.4,May,26,Sporting CP
Nico González,76.0,0.0,0.0,0.0,0.0,8.1,May,18,Braga
Nico González,83.0,0.0,0.0,0.0,0.0,7.1,May,12,Boavista
Nico González,79.0,0.0,0.0,0.0,0.0,7.3,May,4,Chaves
Antonio Silva,90.0,0.0,0.0,0.0,0.0,7.4,Aug,30,Moreirense
Antonio Silva,90.0,0.0,0.0,0.0,0.0,7.9,Aug,17,Casa Pia AC
Antonio Silva,45.0,0.0,0.0,0.0,0.0,6.4,Jul,28,Feyenoord
Antonio Silva,66.0,0.0,0.0,0.0,0.0,5.8,Jun,26,Georgia
Antonio Silva,7.0,0.0,0.0,0.0,0.0,6.9,Jun,22,Turkiye
Luiz Junior,90.0,0.0,0.0,1.0,0.0,7.9,Aug,11,Benfica
Luiz Junior,90.0,0.0,0.0,0.0,0.0,8.1,May,10,Chaves
Luiz Junior,90.0,0.0,0.0,0.0,0.0,8.9,May,5,Benfica
Luiz Junior,90.0,0.0,0.0,0.0,0.0,5.8,Apr,28,Estoril
Luiz Junior,90.0,0.0,0.0,0.0,0.0,7.6,Apr,21,Portimonense
Luiz Junior,90.0,0.0,0.0,0.0,0.0,6.0,Apr,16,Sporting CP
Andre Horta,75.0,0.0,0.0,0.0,0.0,7.4,Sep,1,Gil Vicente
Andre Horta,90.0,0.0,0.0,1.0,0.0,6.7,Aug,29,Rapid Wien
Andre Horta,63.0,0.0,1.0,0.0,0.0,7.8,Aug,25,Moreirense
Andre Horta,29.0,0.0,1.0,0.0,0.0,7.5,Aug,22,Rapid Wien
Andre Horta,43.0,0.0,0.0,0.0,0.0,6.5,May,29,Fiorentina
Andre Horta,62.0,0.0,0.0,0.0,0.0,6.5,May,19,Panathinaikos
Andre Horta,90.0,2.0,0.0,0.0,0.0,9.4,May,15,AEK Athens
Andre Horta,90.0,0.0,0.0,0.0,0.0,7.4,May,12,PAOK Thessaloniki FC
Geovany Quenda,80.0,0.0,0.0,0.0,0.0,7.2,Aug,31,FC Porto
Geovany Quenda,63.0,0.0,0.0,0.0,0.0,6.7,Aug,23,Farense
Geovany Quenda,90.0,0.0,0.0,0.0,0.0,8.4,Aug,17,Nacional
Geovany Quenda,90.0,0.0,0.0,0.0,0.0,8.3,Aug,9,Rio Ave
Geovany Quenda,120.0,1.0,0.0,0.0,0.0,7.6,Aug,3,FC Porto
Enea Mihaj,90.0,0.0,1.0,0.0,0.0,7.6,Sep,1,Vitoria de Guimaraes
Enea Mihaj,90.0,0.0,0.0,1.0,0.0,7.9,Aug,24,Boavista
Enea Mihaj,90.0,0.0,0.0,0.0,0.0,7.6,Aug,19,Estrela da Amadora
Enea Mihaj,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Benfica
Enea Mihaj,45.0,0.0,0.0,0.0,0.0,6.6,Jun,7,Azerbaijan
Enea Mihaj,45.0,0.0,0.0,0.0,0.0,6.5,Jun,3,Liechtenstein
Enea Mihaj,90.0,0.0,0.0,0.0,0.0,7.9,May,10,Chaves
Adrián Marin,82.0,0.0,0.0,0.0,0.0,7.1,Sep,1,Gil Vicente
Adrián Marin,90.0,0.0,0.0,0.0,0.0,6.9,Aug,29,Rapid Wien
Adrián Marin,90.0,0.0,1.0,0.0,0.0,8.5,Aug,25,Moreirense
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.9,Aug,22,Rapid Wien
Adrián Marin,90.0,0.0,0.0,0.0,0.0,8.1,Aug,18,Boavista
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.5,Aug,15,Servette
Adrián Marin,90.0,0.0,0.0,0.0,0.0,6.7,Aug,11,Estrela da Amadora
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.9,Aug,8,Servette
Adrián Marin,72.0,1.0,0.0,1.0,0.0,7.5,Aug,1,Maccabi Petach Tikva
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.4,Jul,25,Maccabi Petach Tikva
Luis Asué,90.0,0.0,0.0,0.0,0.0,6.5,Aug,30,Benfica
Luis Asué,90.0,1.0,0.0,0.0,0.0,7.8,Aug,25,Braga
Luis Asué,87.0,1.0,0.0,0.0,0.0,8.0,Aug,18,Arouca
Luis Asué,83.0,1.0,0.0,0.0,0.0,7.6,Aug,11,Farense
Luis Asué,66.0,0.0,0.0,0.0,0.0,6.7,Jun,10,Malawi
Luis Asué,90.0,0.0,0.0,0.0,0.0,6.7,Jun,5,Tunisia
Luis Asué,90.0,0.0,0.0,0.0,0.0,6.7,May,18,Estoril
Luis Asué,83.0,0.0,0.0,1.0,0.0,7.3,May,12,Casa Pia AC
Luis Asué,68.0,0.0,0.0,0.0,0.0,6.5,May,3,Vizela
Luis Asué,74.0,0.0,0.0,0.0,0.0,6.6,Apr,28,Portimonense
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.8,Aug,24,Estrela da Amadora
Tomas Araujo,85.0,0.0,0.0,0.0,0.0,7.7,Aug,17,Casa Pia AC
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Famalicao
Tomas Araujo,65.0,0.0,0.0,0.0,0.0,7.0,Jul,28,Feyenoord
Tomas Araujo,45.0,1.0,0.0,0.0,0.0,8.3,Apr,14,Moreirense
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.5,Mar,29,Chaves
Pedro Ferreira,90.0,0.0,1.0,0.0,0.0,8.2,Aug,31,AVS Futebol SAD
Pedro Ferreira,90.0,0.0,0.0,1.0,0.0,7.7,Aug,24,Casa Pia AC
Pedro Ferreira,90.0,0.0,0.0,0.0,0.0,8.0,Aug,16,FC Porto
Pedro Ferreira,90.0,0.0,0.0,0.0,0.0,7.5,Aug,11,Estoril
Pedro Ferreira,90.0,0.0,0.0,1.0,0.0,7.3,Feb,29,FC Porto
Morten Hjulmand,86.0,0.0,0.0,0.0,0.0,7.5,Aug,31,FC Porto
Morten Hjulmand,76.0,0.0,0.0,0.0,0.0,7.7,Aug,9,Rio Ave
Morten Hjulmand,103.0,0.0,0.0,0.0,0.0,6.9,Aug,3,FC Porto
Morten Hjulmand,77.0,0.0,0.0,1.0,0.0,7.2,Jun,25,Serbia
Morten Hjulmand,83.0,1.0,0.0,0.0,0.0,7.6,Jun,20,England
Morten Hjulmand,89.0,0.0,0.0,1.0,0.0,6.6,Jun,16,Slovenia
Morten Hjulmand,45.0,0.0,0.0,0.0,0.0,6.6,Jun,8,Norway
Morten Hjulmand,29.0,0.0,1.0,0.0,0.0,8.5,Jun,5,Sweden
Morten Hjulmand,120.0,0.0,0.0,1.0,0.0,7.1,May,26,FC Porto
Morten Hjulmand,45.0,0.0,0.0,1.0,0.0,6.4,May,18,Chaves
