player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Zaydou Youssouf,Apr 16Sporting CP0-1,9000006.9,90,0,0,0,0,6.9
Ivan Jaime,,,,,,,,
Ivan Jaime,Aug 31Sporting CP2-0,7300006.9,73,0,0,0,0,6.9
Ivan Jaime,Aug 24Rio Ave2-0,7702008.4,77,0,2,0,0,8.4
Ivan Jaime,Aug 16Santa Clara0-2,7310007.7,73,1,0,0,0,7.7
Ivan Jaime,Aug 10Gil Vicente3-0,8310008.1,83,1,0,0,0,8.1
Ivan Jaime,Aug 3Sporting CP3-4,5710007.5,57,1,0,0,0,7.5
Ivan Jaime,Jul 28Al Nassr FC4-0,6410008.3,64,1,0,0,0,8.3
Ivan Jaime,Apr 13Famalicao2-2,4500006.1,45,0,0,0,0,6.1
Ivan Jaime,Apr 7Vitoria de Guimaraes1-2,3400006.5,34,0,0,0,0,6.5
Ivan Jaime,Apr 3Vitoria de Guimaraes0-1,70000-,7,0,0,0,0,-
Ivan Jaime,Mar 30Estoril1-0,1400006.3,14,0,0,0,0,6.3
Tiago Gouveia,,,,,,,,
Tiago Gouveia,Aug 24Estrela da Amadora1-0,5500107.4,55,0,0,1,0,7.4
Tiago Gouveia,Aug 17Casa Pia AC3-0,2511008.4,25,1,1,0,0,8.4
Tiago Gouveia,Aug 11Famalicao2-0,30000-,3,0,0,0,0,-
Tiago Gouveia,Jul 28Feyenoord5-0,2501007.5,25,0,1,0,0,7.5
Tiago Gouveia,May 17Rio Ave1-1,2700005.8,27,0,0,0,0,5.8
Tiago Gouveia,May 12Arouca5-0,2500006.2,25,0,0,0,0,6.2
Tiago Gouveia,May 5Famalicao2-0,1400106.2,14,0,0,1,0,6.2
Tiago Gouveia,Apr 27Braga3-1,10000-,1,0,0,0,0,-
Tiago Gouveia,Apr 22Farense1-3,6200007.0,62,0,0,0,0,7.0
Tiago Gouveia,Apr 18Marseille5-2,00000-,0,0,0,0,0,-
Nico González,,,,,,,,
Nico González,Aug 31Sporting CP2-0,9000106.1,90,0,0,1,0,6.1
Nico González,Aug 24Rio Ave2-0,9010008.1,90,1,0,0,0,8.1
Nico González,Aug 16Santa Clara0-2,6801108.1,68,0,1,1,0,8.1
Nico González,Aug 10Gil Vicente3-0,8300007.6,83,0,0,0,0,7.6
Nico González,Aug 3Sporting CP3-4,7510107.6,75,1,0,1,0,7.6
Nico González,Jul 28Al Nassr FC4-0,6420008.8,64,2,0,0,0,8.8
Nico González,May 26Sporting CP2-1,850000-,85,0,0,0,0,-
Nico González,May 18Braga0-1,7600008.1,76,0,0,0,0,8.1
Nico González,May 12Boavista2-1,8300007.1,83,0,0,0,0,7.1
Nico González,May 4Chaves0-3,7900007.3,79,0,0,0,0,7.3
Antonio Silva,,,,,,,,
Antonio Silva,Aug 30Moreirense1-1,9000007.4,90,0,0,0,0,7.4
Antonio Silva,Aug 24Estrela da Amadora1-0,00000-,0,0,0,0,0,-
Antonio Silva,Aug 17Casa Pia AC3-0,9000007.9,90,0,0,0,0,7.9
Antonio Silva,Aug 11Famalicao2-0,00000-,0,0,0,0,0,-
Antonio Silva,Jul 28Feyenoord5-0,4500006.4,45,0,0,0,0,6.4
Antonio Silva,Jul 5France3-5,00000-,0,0,0,0,0,-
Antonio Silva,Jul 1Slovenia3-0,00000-,0,0,0,0,0,-
Antonio Silva,Jun 26Georgia2-0,6600005.8,66,0,0,0,0,5.8
Antonio Silva,Jun 22Turkiye0-3,70000-,7,0,0,0,0,-
Antonio Silva,Jun 18Czechia2-1,00000-,0,0,0,0,0,-
Luiz Junior,,,,,,,,
Luiz Junior,Aug 31Valencia1-1,00000-,0,0,0,0,0,-
Luiz Junior,Aug 26Celta Vigo4-3,00000-,0,0,0,0,0,-
Luiz Junior,Aug 23Sevilla1-2,00000-,0,0,0,0,0,-
Luiz Junior,Aug 11Benfica2-0,9000107.9,90,0,0,1,0,7.9
Luiz Junior,May 17Casa Pia AC1-2,00000-,0,0,0,0,0,-
Luiz Junior,May 10Chaves0-1,9000008.1,90,0,0,0,0,8.1
Luiz Junior,May 5Benfica2-0,9000008.9,90,0,0,0,0,8.9
Luiz Junior,Apr 28Estoril1-0,9000005.8,90,0,0,0,0,5.8
Luiz Junior,Apr 21Portimonense2-2,9000007.6,90,0,0,0,0,7.6
Luiz Junior,Apr 16Sporting CP0-1,9000006.0,90,0,0,0,0,6.0
Andre Horta,,,,,,,,
Andre Horta,Sep 1Gil Vicente0-0,7500007.4,75,0,0,0,0,7.4
Andre Horta,Aug 29Rapid Wien2-2,9000106.7,90,0,0,1,0,6.7
Andre Horta,Aug 25Moreirense3-1,6301007.8,63,0,1,0,0,7.8
Andre Horta,Aug 22Rapid Wien2-1,2901007.5,29,0,1,0,0,7.5
Andre Horta,Aug 18Boavista0-1,00000-,0,0,0,0,0,-
Andre Horta,Jul 25Maccabi Petach Tikva2-0,00000-,0,0,0,0,0,-
Andre Horta,May 29Fiorentina1-0,4300006.5,43,0,0,0,0,6.5
Andre Horta,May 19Panathinaikos2-2,6200006.5,62,0,0,0,0,6.5
Andre Horta,May 15AEK Athens2-0,9020009.4,90,2,0,0,0,9.4
Andre Horta,May 12PAOK Thessaloniki FC2-0,9000007.4,90,0,0,0,0,7.4
Geovany Quenda,,,,,,,,
Geovany Quenda,Aug 31FC Porto2-0,8000007.2,80,0,0,0,0,7.2
Geovany Quenda,Aug 23Farense0-5,6300006.7,63,0,0,0,0,6.7
Geovany Quenda,Aug 17Nacional1-6,9000008.4,90,0,0,0,0,8.4
Geovany Quenda,Aug 9Rio Ave3-1,9000008.3,90,0,0,0,0,8.3
Geovany Quenda,Aug 3FC Porto3-4,12010007.6,120,1,0,0,0,7.6
Geovany Quenda,Mar 6Atalanta1-1,00000-,0,0,0,0,0,-
Geovany Quenda,"Nov 5, 2023Estrela da Amadora3-2",00000-,0,0,0,0,0,-
Geovany Quenda,,,,,,,,
Geovany Quenda,,,,,,,,
Enea Mihaj,,,,,,,,
Enea Mihaj,Sep 1Vitoria de Guimaraes2-1,9001007.6,90,0,1,0,0,7.6
Enea Mihaj,Aug 24Boavista1-0,9000107.9,90,0,0,1,0,7.9
Enea Mihaj,Aug 19Estrela da Amadora0-3,9000007.6,90,0,0,0,0,7.6
Enea Mihaj,Aug 11Benfica2-0,9000007.8,90,0,0,0,0,7.8
Enea Mihaj,Jun 24Spain0-1,00000-,0,0,0,0,0,-
Enea Mihaj,Jun 19Croatia2-2,00000-,0,0,0,0,0,-
Enea Mihaj,Jun 15Italy2-1,00000-,0,0,0,0,0,-
Enea Mihaj,Jun 7Azerbaijan3-1,4500006.6,45,0,0,0,0,6.6
Enea Mihaj,Jun 3Liechtenstein3-0,4500006.5,45,0,0,0,0,6.5
Enea Mihaj,May 10Chaves0-1,9000007.9,90,0,0,0,0,7.9
Adrián Marin,,,,,,,,
Adrián Marin,Sep 1Gil Vicente0-0,8200007.1,82,0,0,0,0,7.1
Adrián Marin,Aug 29Rapid Wien2-2,9000006.9,90,0,0,0,0,6.9
Adrián Marin,Aug 25Moreirense3-1,9001008.5,90,0,1,0,0,8.5
Adrián Marin,Aug 22Rapid Wien2-1,9000007.9,90,0,0,0,0,7.9
Adrián Marin,Aug 18Boavista0-1,9000008.1,90,0,0,0,0,8.1
Adrián Marin,Aug 15Servette1-2,9000007.5,90,0,0,0,0,7.5
Adrián Marin,Aug 11Estrela da Amadora1-1,9000006.7,90,0,0,0,0,6.7
Adrián Marin,Aug 8Servette0-0,9000007.9,90,0,0,0,0,7.9
Adrián Marin,Aug 1Maccabi Petach Tikva0-5,7210107.5,72,1,0,1,0,7.5
Adrián Marin,Jul 25Maccabi Petach Tikva2-0,900000-,90,0,0,0,0,-
Luis Asué,,,,,,,,
Luis Asué,Aug 30Benfica1-1,9000006.5,90,0,0,0,0,6.5
Luis Asué,Aug 25Braga3-1,9010007.8,90,1,0,0,0,7.8
Luis Asué,Aug 18Arouca3-1,8710008.0,87,1,0,0,0,8.0
Luis Asué,Aug 11Farense1-2,8310007.6,83,1,0,0,0,7.6
Luis Asué,Jun 10Malawi1-0,660000-,66,0,0,0,0,-
Luis Asué,Jun 5Tunisia1-0,900000-,90,0,0,0,0,-
Luis Asué,May 18Estoril2-1,9000006.7,90,0,0,0,0,6.7
Luis Asué,May 12Casa Pia AC0-1,8300107.3,83,0,0,1,0,7.3
Luis Asué,May 3Vizela1-0,6800006.5,68,0,0,0,0,6.5
Luis Asué,Apr 28Portimonense0-2,7400006.6,74,0,0,0,0,6.6
Tomas Araujo,,,,,,,,
Tomas Araujo,Aug 30Moreirense1-1,00000-,0,0,0,0,0,-
Tomas Araujo,Aug 24Estrela da Amadora1-0,9000007.8,90,0,0,0,0,7.8
Tomas Araujo,Aug 17Casa Pia AC3-0,8500007.7,85,0,0,0,0,7.7
Tomas Araujo,Aug 11Famalicao2-0,9000007.8,90,0,0,0,0,7.8
Tomas Araujo,Jul 28Feyenoord5-0,6500007.0,65,0,0,0,0,7.0
Tomas Araujo,Apr 14Moreirense3-0,4510008.3,45,1,0,0,0,8.3
Tomas Araujo,Apr 11Marseille2-1,00000-,0,0,0,0,0,-
Tomas Araujo,Apr 6Sporting CP2-1,00000-,0,0,0,0,0,-
Tomas Araujo,Apr 2Sporting CP2-2,00000-,0,0,0,0,0,-
Tomas Araujo,Mar 29Chaves1-0,9000007.5,90,0,0,0,0,7.5
Pedro Ferreira,,,,,,,,
Pedro Ferreira,Aug 31AVS Futebol SAD2-1,9001008.2,90,0,1,0,0,8.2
Pedro Ferreira,Aug 24Casa Pia AC0-2,9000107.7,90,0,0,1,0,7.7
Pedro Ferreira,Aug 16FC Porto0-2,9000008.0,90,0,0,0,0,8.0
Pedro Ferreira,Aug 11Estoril1-4,9000007.5,90,0,0,0,0,7.5
Pedro Ferreira,Feb 29FC Porto1-2,900010-,90,0,0,1,0,-
Pedro Ferreira,"Dec 3, 2023HB Køge1-2",00000-,0,0,0,0,0,-
